Category: All categories

Month,JAVA: (Italy)
2004-01,92
2004-02,100
2004-03,99
2004-04,87
2004-05,85
2004-06,86
2004-07,89
2004-08,81
2004-09,73
2004-10,93
2004-11,83
2004-12,78
2005-01,80
2005-02,86
2005-03,77
2005-04,75
2005-05,80
2005-06,77
2005-07,70
2005-08,74
2005-09,73
2005-10,74
2005-11,73
2005-12,68
2006-01,63
2006-02,67
2006-03,66
2006-04,56
2006-05,60
2006-06,59
2006-07,55
2006-08,50
2006-09,59
2006-10,62
2006-11,61
2006-12,59
2007-01,57
2007-02,59
2007-03,55
2007-04,52
2007-05,52
2007-06,51
2007-07,50
2007-08,46
2007-09,51
2007-10,51
2007-11,49
2007-12,46
2008-01,42
2008-02,42
2008-03,42
2008-04,40
2008-05,42
2008-06,39
2008-07,38
2008-08,38
2008-09,37
2008-10,39
2008-11,38
2008-12,34
2009-01,33
2009-02,34
2009-03,35
2009-04,34
2009-05,32
2009-06,29
2009-07,30
2009-08,28
2009-09,29
2009-10,32
2009-11,32
2009-12,30
2010-01,30
2010-02,30
2010-03,31
2010-04,30
2010-05,28
2010-06,26
2010-07,25
2010-08,23
2010-09,25
2010-10,27
2010-11,25
2010-12,26
2011-01,25
2011-02,24
2011-03,24
2011-04,22
2011-05,23
2011-06,22
2011-07,23
2011-08,22
2011-09,22
2011-10,23
2011-11,24
2011-12,23
2012-01,22
2012-02,22
2012-03,24
2012-04,22
2012-05,22
2012-06,22
2012-07,22
2012-08,20
2012-09,22
2012-10,23
2012-11,23
2012-12,22
2013-01,22
2013-02,22
2013-03,21
2013-04,22
2013-05,21
2013-06,21
2013-07,18
2013-08,15
2013-09,17
2013-10,25
2013-11,23
2013-12,21
2014-01,27
2014-02,21
2014-03,26
2014-04,22
2014-05,21
2014-06,18
2014-07,19
2014-08,16
2014-09,18
2014-10,22
2014-11,22
2014-12,19
2015-01,19
2015-02,20
2015-03,20
2015-04,20
2015-05,19
2015-06,17
2015-07,18
2015-08,12
2015-09,18
2015-10,18
2015-11,18
2015-12,16
2016-01,13
2016-02,15
2016-03,14
2016-04,14
2016-05,14
2016-06,12
2016-07,11
2016-08,9
2016-09,12
2016-10,13
2016-11,13
2016-12,11
2017-01,12
2017-02,13
2017-03,14
2017-04,11
2017-05,13
2017-06,11
2017-07,10
2017-08,8
2017-09,10
2017-10,12
2017-11,11
2017-12,10
2018-01,10
2018-02,11
2018-03,11
2018-04,9
2018-05,10
2018-06,9
2018-07,9
2018-08,7
2018-09,8
2018-10,10
2018-11,9
2018-12,8
2019-01,9
2019-02,9
2019-03,9
2019-04,9
2019-05,9
2019-06,8
2019-07,8
2019-08,6
2019-09,8
2019-10,10
2019-11,9
2019-12,7
2020-01,8
2020-02,8
2020-03,8
2020-04,9
2020-05,8
2020-06,7
2020-07,7
2020-08,5
2020-09,7
2020-10,7
2020-11,7
2020-12,6
2021-01,6
2021-02,7
2021-03,7
2021-04,7
2021-05,7
2021-06,6
2021-07,5
2021-08,4
2021-09,6
2021-10,7
2021-11,7
2021-12,7
2022-01,9
2022-02,10
2022-03,10
2022-04,9
2022-05,9
2022-06,8
2022-07,7
2022-08,6
2022-09,8
2022-10,8
2022-11,8
2022-12,7
2023-01,9
2023-02,9
2023-03,10
2023-04,8
2023-05,8
2023-06,7
2023-07,7
2023-08,5
2023-09,6
2023-10,8
2023-11,7
2023-12,6
2024-01,7
2024-02,8
2024-03,8
2024-04,7
2024-05,8
2024-06,7
2024-07,6
